mid,time,radiant_team,dire_team,radiant_win
5506646705,2020-07-10 16:15:10,"110,39,8,62,51","70,35,2,80,84",True
5506646203,2020-07-10 16:14:40,"80,60,39,5,120","84,1,10,86,2",True
5506646113,2020-07-10 16:14:45,"11,28,64,74,89","105,51,1,39,111",False
5506645716,2020-07-10 16:14:15,"40,41,38,31,93","9,13,12,129,21",True
5506645216,2020-07-10 16:13:44,"67,23,121,100,58","106,56,83,10,5",True
5506645018,2020-07-10 16:13:30,"9,46,29,5,44","56,99,84,120,74",False
5506644010,2020-07-10 16:12:14,"121,44,96,35,84","26,77,27,42,119",True
5506643906,2020-07-10 16:12:13,"17,27,41,100,30","40,120,64,1,106",True
5506643605,2020-07-10 16:11:43,"10,70,111,104,103","120,64,39,36,14",False
5506643212,2020-07-10 16:11:29,"19,1,27,39,2","26,9,73,47,98",False
5506643006,2020-07-10 16:11:14,"41,35,31,129,17","79,100,67,64,23",False
5506642908,2020-07-10 16:10:59,"87,22,89,120,15","60,25,78,106,26",False
5506642402,2020-07-10 16:10:34,"67,53,14,74,51","21,4,70,119,35",True
5506641708,2020-07-10 16:09:49,"129,22,126,111,8","86,40,70,49,101",True
5506641107,2020-07-10 16:08:54,"93,56,126,34,39","4,70,86,64,35",False
5506640206,2020-07-10 16:08:03,"63,5,2,4,35","23,84,98,26,41",True
5506640111,2020-07-10 16:07:54,"83,14,63,104,21","98,126,119,75,70",True
5506639614,2020-07-10 16:07:18,"7,31,47,129,53","120,126,84,40,48",False
5506639413,2020-07-10 16:06:49,"29,109,74,90,107","20,9,48,7,22",True
5506639219,2020-07-10 16:06:24,"84,70,10,23,26","27,13,97,62,81",True
5506639208,2020-07-10 16:06:54,"47,120,53,87,62","27,44,106,20,59",True
5506639006,2020-07-10 16:06:39,"114,86,83,95,64","11,87,49,93,30",True
5506638803,2020-07-10 16:06:15,"30,9,41,114,23","14,126,111,44,99",False
5506638106,2020-07-10 16:05:39,"4,46,129,37,91","17,16,7,54,75",False
5506638004,2020-07-10 16:05:29,"114,93,21,23,26","2,14,39,1,31",True
5506637713,2020-07-10 16:05:13,"112,45,67,126,13","108,39,31,93,121",False
5506637709,2020-07-10 16:05:08,"95,120,64,65,106","63,25,109,102,58",True
5506637500,2020-07-10 16:04:59,"82,19,74,111,84","9,113,3,87,70",True
5506637205,2020-07-10 16:04:28,"28,76,110,42,105","39,14,70,17,96",True
5506637118,2020-07-10 16:04:29,"86,33,13,3,70","46,53,26,83,1",False
5506637101,2020-07-10 16:04:28,"104,67,5,51,17","119,72,106,52,129",True
5506636900,2020-07-10 16:04:14,"110,16,39,8,90","48,79,28,13,25",True
5506636205,2020-07-10 16:02:53,"64,68,102,89,10","100,108,65,8,87",True
5506635908,2020-07-10 16:03:03,"19,3,14,110,109","27,25,9,39,12",False
5506635906,2020-07-10 16:02:53,"19,95,107,3,2","77,23,51,39,65",False
5506635301,2020-07-10 16:02:19,"45,21,74,1,71","7,11,40,42,64",False
5506634809,2020-07-10 16:01:49,"129,53,46,4,35","42,38,45,62,31",False
5506634717,2020-07-10 16:01:08,"93,9,2,121,52","37,30,96,10,113",True
5506634616,2020-07-10 16:01:32,"106,108,37,12,7","10,31,104,61,9",False
5506634615,2020-07-10 16:01:29,"9,39,81,64,34","104,42,74,3,13",True
5506634506,2020-07-10 16:01:24,"1,19,84,69,110","22,75,37,108,8",False
5506634110,2020-07-10 16:00:58,"31,39,14,106,93","22,84,99,1,44",True
5506633903,2020-07-10 16:00:29,"126,64,7,49,48","44,25,9,106,104",False
